titles,videoIds,publishedAt,video_urls
"SENATE  PROCEEDINGS,  17TH NOVEMBER 2020",XGMQVjQfYzs,2020-11-17T11:23:11Z,https://www.youtube.com/watch?v=XGMQVjQfYzs
"NATIONAL ASSEMBLY PROCEEDINGS,  17TH NOVEMBER 2020",qMFfTOSOdbs,2020-11-17T11:08:03Z,https://www.youtube.com/watch?v=qMFfTOSOdbs
"SENATE PROCEEDINGS,  17TH NOVEMBER 2020",LYRHNvpF8XE,2020-11-17T10:32:53Z,https://www.youtube.com/watch?v=LYRHNvpF8XE
"SENATE PROCEEDINGS,  11TH NOVEMBER 2020",17rCoNbgxXI,2020-11-11T09:24:28Z,https://www.youtube.com/watch?v=17rCoNbgxXI
"SENATE PROCEEDINGS,  10TH NOVEMBER 2020",6HWGUkr28Wg,2020-11-10T11:01:22Z,https://www.youtube.com/watch?v=6HWGUkr28Wg
"SENATE PROCEEDINGS,  05TH NOVEMBER 2020",fCdLkjpSNDI,2020-11-05T06:45:08Z,https://www.youtube.com/watch?v=fCdLkjpSNDI
"SENATE PROCEEDINGS,  04TH NOVEMBER 2020",KJYL3CimWpk,2020-11-04T10:36:16Z,https://www.youtube.com/watch?v=KJYL3CimWpk
"SENATE PROCEEDINGS,  03RD NOVEMBER 2020",QkK91wRutwY,2020-11-03T11:36:10Z,https://www.youtube.com/watch?v=QkK91wRutwY
"SENATE PROCEEDINGS,  03RD NOVEMBER 2020",7Kf671buSmk,2020-11-03T11:35:35Z,https://www.youtube.com/watch?v=7Kf671buSmk
"SENATE PROCEEDINGS, 03RD NOVEMBER 2020",ROwvZsyn9no,2020-11-03T11:12:52Z,https://www.youtube.com/watch?v=ROwvZsyn9no
"SENATE PROCEEDINGS, 3RD NOVEMBER, 2020",fS7JV-QRx_0,2020-11-03T10:16:50Z,https://www.youtube.com/watch?v=fS7JV-QRx_0
"NATIONAL ASSEMBLY  PROCEEDINGS, 8TH OCTOBER 2020",4hSgZpCivOU,2020-10-08T15:32:31Z,https://www.youtube.com/watch?v=4hSgZpCivOU
"SENATE PROCEEDINGS, 8TH OCTOBER 2020",FxjWwzQkpE0,2020-10-08T11:16:47Z,https://www.youtube.com/watch?v=FxjWwzQkpE0
"SENATE PROCEEDINGS, 7TH OCTOBER 2020",AhG4McWmAeA,2020-10-07T09:05:01Z,https://www.youtube.com/watch?v=AhG4McWmAeA
"SENATE PROCEEDINGS, 6TH OCTOBER 2020",Hj3gcJz1Lpk,2020-10-06T10:20:48Z,https://www.youtube.com/watch?v=Hj3gcJz1Lpk
"SENATE PROCEEDINGS, 1ST OCTOBER 2020",OW7jIrdk4h4,2020-10-01T10:43:44Z,https://www.youtube.com/watch?v=OW7jIrdk4h4
"NATIONAL ASSEMBLY  PROCEEDINGS, 1ST OCTOBER 2020",uZgsePzLuGM,2020-10-01T06:44:39Z,https://www.youtube.com/watch?v=uZgsePzLuGM
"SENATE PROCEEDINGS, 30TH SEPTEMBER 2020",U_yIYaXNBv4,2020-09-30T11:59:34Z,https://www.youtube.com/watch?v=U_yIYaXNBv4
"SENATE PROCEEDINGS, 29TH  SEPTEMBER 2020",_lXE8GKLCdc,2020-09-29T09:57:53Z,https://www.youtube.com/watch?v=_lXE8GKLCdc
"SENATE PROCEEDINGS, 23RD SEPTEMBER 2020",n7Rgx-VUxR4,2020-09-23T10:56:06Z,https://www.youtube.com/watch?v=n7Rgx-VUxR4
"SENATE PROCEEDINGS, 22ND SEPTEMBER 2020",QOGFpE-crvI,2020-09-22T10:58:41Z,https://www.youtube.com/watch?v=QOGFpE-crvI
NATIONAL ASSEMBLY PROCEEDINGS,06kaF82FeNY,2020-09-15T08:04:22Z,https://www.youtube.com/watch?v=06kaF82FeNY
SENATE LIVE PROCEEDINGS,E4yO8aG8mG8,2020-09-14T10:50:26Z,https://www.youtube.com/watch?v=E4yO8aG8mG8
"SENATE PROCEEDINGS, 08TH SEPTEMBER, 2020",WZF6UOuUoxI,2020-09-08T10:41:15Z,https://www.youtube.com/watch?v=WZF6UOuUoxI
NATIONAL ASSEMBLY LIVE PROCEEDINGS,WeejpiZm9pQ,2020-09-08T10:39:30Z,https://www.youtube.com/watch?v=WeejpiZm9pQ
"SENATE PROCEEDINGS, 17TH AUGUST, 2020 SPECIAL SITTING, AFTERNOON SESSION",5hiJNx029nw,2020-08-17T10:57:38Z,https://www.youtube.com/watch?v=5hiJNx029nw
