titles,videoIds,publishedAt,video_urls
"Standing Committee on Appropriations, 26 May 2020",cTpVMX27KWw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=cTpVMX27KWw
Plenary National Council of Provinces 26 May 2020,sAa5iGBpBjw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=sAa5iGBpBjw
"Standing Committee on Appropriations, 26 May 2020",xsPtSD21l0c,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=xsPtSD21l0c
"Portfolio Committee on Trade and Industry, 26, May 2020",lvHXIUZnMCk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=lvHXIUZnMCk
Plenary National Council of Provinces 26 May 2020,isYh8idpmyw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=isYh8idpmyw
"JM: PC on Mineral Resources and Energy & SE on Land Reform,  &  Energy, 26 May 2020",3s4PlqeB1Q4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=3s4PlqeB1Q4
"Women’s Charter Review Session -  Northern Cape Province, 26 May 2020",dGJDwNPPNKU,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=dGJDwNPPNKU
Private video,HlGz0ikAXU0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=HlGz0ikAXU0
Private video,-bsyM2i1cnk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=-bsyM2i1cnk
Private video,aUf3d1F7mqI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=aUf3d1F7mqI
"Portfolio Committee on Human Settlements, Water and Sanitation,, 26 May 2020",o3J4BNabyfw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=o3J4BNabyfw
"Portfolio Committee on Higher Education, Science and Technology, 26, May 2020",aixcyGsUAzk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=aixcyGsUAzk
Private video,m_K6kp7v4DY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=m_K6kp7v4DY
"Portfolio Committee on Agriculture, Land Reform and Rural Development, 26 May 2020",vDWV27FxnW8,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=vDWV27FxnW8
"Standing Committee on Public Accounts, 26 May 2020",XqWf11xGQQ0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=XqWf11xGQQ0
"Standing Committee on Public Accounts, 26 May 2020",tgDfgS799AY,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=tgDfgS799AY
"Portfolio Committee on Communications, 26 May 2020",vP9Ai8xgoNU,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=vP9Ai8xgoNU
"Portfolio Committee on Employment and Labour,26 May 2020",J7NWmPpISmo,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=J7NWmPpISmo
"Portfolio Committee on Women, Youth and Persons with Disabilities, 26, May 2020",SmAcef-zMrk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=SmAcef-zMrk
"Portfolio Committee on Women, Youth and Persons with Disabilities, 26, May 2020",887T8Qiw0F4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=887T8Qiw0F4
"JM: PC on Public Enterprises andSE on Public Enterprises and Communication,27  May 2020",nSLuQfAvIto,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=nSLuQfAvIto
"Portfolio Committee on Employment and Labour,26 May 2020",XXa1WZAPs0k,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=XXa1WZAPs0k
"Portfolio Committee on Public Service and Administration, 27 May 2020",rB3JqgmDcMI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=rB3JqgmDcMI
"Portfolio Committee on Police, 27  May 2020",mY9HlcnxR3I,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=mY9HlcnxR3I
"Select Committee on Appropriations,  27 May 2020",csdhtEzeqGw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=csdhtEzeqGw
"Select Committee on Appropriations,  27 May 2020",IPaRj3C_lcw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=IPaRj3C_lcw
"Portfolio Committee on Public Service and Administration, 27 May 2020",LwCvopYFw9Y,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=LwCvopYFw9Y
"Portfolio Committee on Police, 27  May 2020",YbhE_pqOcAc,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=YbhE_pqOcAc
"Portfolio Committee on Mineral Resources and Energy, 27 May 2020",yS3zYPo-XS8,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=yS3zYPo-XS8
PC on Justice and Correctional Services & SC on Security & Justice 27 May 2020,wBV5a-2i7CI,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=wBV5a-2i7CI
PC on Justice and Correctional Services & SC on Security & Justice 27 May 2020,rVtzwjbBerA,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=rVtzwjbBerA
"Portfolio Committee on Defence and Military Veterans, 27 May 2020",cqyn30KJdJU,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=cqyn30KJdJU
"National Assembly Plenary,  27 May 2020",m6K8WXBX9ik,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=m6K8WXBX9ik
"Portfolio Committee on Women, Youth and Persons with Disabilities, 26, May 2020",u0X-EEtYbd8,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=u0X-EEtYbd8
Message from Ms Baby Tyawa on virtual Parliament and measures to combat Covid-19 in Parliament,VBXArghzQVw,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=VBXArghzQVw
"Portfolio Committee on Communications (Subcommittee) 27, May 2020",Z3N3HtArZjk,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=Z3N3HtArZjk
"Standing Committee on Appropriations, 27 May 2020",__ljwRGKmN8,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=__ljwRGKmN8
"JM: PC on Tourism & SC on Trade & Industry, Small Business, Tourism,Labour 27 May 2020",qDIc3qBqaTQ,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=qDIc3qBqaTQ
"Portfolio Committee on Defence and Military Veterans, 27 May 2020",TSXSy9FvXSE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=TSXSy9FvXSE
"PC on Justice and Correctional Services and Select Committee on Security and Justice, 27 May 2020",OOAchLcJgRE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=OOAchLcJgRE
"JM: PC on Tourism & SC on Trade & Industry, Small Business, Tourism,Labour 27 May 2020",VA_iihGF_sU,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=VA_iihGF_sU
"National Assembly Programme Committee, 28 May 2020",wOV3c9k6yo4,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=wOV3c9k6yo4
"Portfolio Committee on Trade and Industry, 28 May 2020",L87frf-lKn8,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=L87frf-lKn8
"Portfolio Committee on Women, Youth and Persons with Disabilities, 26, May 2020",rAqRJ2-Qol0,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=rAqRJ2-Qol0
"Portfolio Joint Standing Committee on the Financial Management of Parliament, 28  May 2020",te6ewhvzShE,2020-06-02T21:06:32Z,https://www.youtube.com/watch?v=te6ewhvzShE
